,-1_ret5,0_ret5,1_ret5,-1_ret30,0_ret30,1_ret30
000002sz,33802,28562,32360,43183,11725,39816
000063sz,37276,22813,34636,46687,7115,40923
000651sz,38362,20839,35524,46955,7182,40588
000858sz,42573,8360,43792,46614,1788,46323
002460sz,45290,5026,44409,47087,1187,46451
002594sz,45265,4052,45408,47203,1069,46453
002841sz,31002,17607,31239,37380,5392,37076
300144sz,31166,33676,29334,41235,15972,36969
300498sz,21947,51701,20810,36377,25921,32160
600111sh,31791,31539,31493,39725,17094,38004
600309sh,43122,8575,43138,46393,2271,46171
600398sh,8509,69462,8188,20326,47492,18341
600436sh,41908,10004,43088,47197,1837,45966
600585sh,35396,25789,33604,44819,9061,40909
600893sh,42393,12514,39863,44874,7890,42006
600900sh,19858,55831,19232,33607,29266,32048
601088sh,26646,43018,25281,39977,18564,36404
601100sh,44996,9874,40052,48565,2388,43969
601360sh,28153,39567,27288,40240,17843,36925
603986sh,43621,7781,43437,47697,1795,45347
