,0,Accuracy,Precision,Recall,F1
Time,3/27/2025 19:37,,,,
REC_CNT,10,,,,
PRED_CNT,5,,,,
IS_BINARY,TRUE,,,,
stock_cnt,15,,,,
sample_size,20000,,,,
train_start,11/1/2021 0:00,,,,
train_end,11/2/2021 23:59,,,,
test_start,11/3/2021 0:00,,,,
test_end,11/5/2021 23:59,,,,
XGBoost,,0.7673,0.7267560230743129,0.8567,0.7863961813842483
MLP,,0.7249,0.6678608747574265,0.8948,0.7648516967262158
Linear SVM,,0.7253,0.6719059972531665,0.8806,0.7622262615770795
Logistic Regression (SGD),,0.725,0.6768033946251768,0.8613,0.7579864472410455
