code,max,min,mean,median,std,abs_mean,abs_median,abs_25%,abs_75%,abs_95%
000002sz,0.23000000000000043,-0.23000000000000043,0.0066825261980392545,0.004999999999999005,0.06092490777257291,0.05291182367901732,0.05000000000000071,0.029999999999997584,0.0799999999999983,0.10000000000000142
000063sz,0.25,-0.25,0.006574372097931632,0.004999999999999005,0.0606333093214286,0.0525770525538202,0.05000000000000426,0.030000000000001137,0.0799999999999983,0.10000000000000142
000651sz,0.6400000000000006,-0.4200000000000017,0.009461697973828629,0.0049999999999954525,0.06946068219251826,0.059138956310679607,0.05999999999999517,0.030000000000001137,0.0800000000000125,0.12000000000000455
000858sz,2.579999999999984,-1.920000000000016,0.041646448923596376,0.0049999999999954525,0.2138388829405722,0.1540898849725622,0.11000000000001364,0.05000000000001137,0.19999999999998863,0.45999999999997954
002460sz,1.940000000000012,-1.6200000000000045,0.04182199659262864,0.0049999999999954525,0.2248932912327884,0.17097389974709268,0.12999999999999545,0.060000000000002274,0.2300000000000182,0.46999999999999886
002594sz,2.3700000000000045,-1.8199999999999932,0.04566125474883915,0.0049999999999954525,0.23191365252432186,0.17687008758970024,0.13999999999998636,0.06999999999999318,0.2400000000000091,0.47999999999998977
002841sz,2.9199999999999875,-1.8799999999999955,0.07256831821081268,0.0049999999999954525,0.34303502650657314,0.27026807217152465,0.21999999999999886,0.09999999999999432,0.39000000000000057,0.7000000000000028
300144sz,0.3500000000000014,-0.1700000000000017,0.008536864060460033,0.004999999999999005,0.06421970857644763,0.05554148135568031,0.05000000000000071,0.02999999999999936,0.08000000000000007,0.10999999999999943
300498sz,0.18000000000000327,-0.15000000000000213,0.005704766490639511,0.004999999999999005,0.058735749363938,0.05099051252473732,0.05000000000000071,0.029999999999997584,0.0799999999999983,0.09999999999999787
600111sh,0.3199999999999985,-0.3000000000000007,0.0062936095689675635,0.004999999999999005,0.06026924348468908,0.05231769877766922,0.05000000000000071,0.02999999999999936,0.08000000000000007,0.09999999999999964
600309sh,1.730000000000004,-1.7999999999999972,0.02678429089439716,0.0049999999999954525,0.1691205510820613,0.13085184653502188,0.10999999999999943,0.04999999999999716,0.18000000000000682,0.3400000000000034
600398sh,0.1800000000000006,-0.15999999999999925,0.005772571176648053,0.004999999999999893,0.05890276809851313,0.051140531823560785,0.04999999999999982,0.02999999999999936,0.08000000000000007,0.09999999999999964
600436sh,4.300000000000011,-3.0,0.0862347030041563,0.0049999999999954525,0.44626727474311906,0.33814979744304785,0.2599999999999909,0.1099999999999568,0.4900000000000091,0.9400000000000546
600585sh,0.45000000000000284,-0.3100000000000023,0.007722997342444974,0.004999999999999005,0.06483846696344885,0.055634085252678635,0.05000000000000426,0.030000000000001137,0.0799999999999983,0.10999999999999943
600893sh,1.269999999999996,-0.8299999999999983,0.02029698770584765,0.0049999999999954525,0.11345503821199374,0.09133669418863137,0.0799999999999983,0.04000000000000625,0.12000000000000455,0.21999999999999886
600900sh,0.17999999999999972,-0.16000000000000014,0.005510826066809854,0.004999999999999005,0.05844573025868698,0.05073154934917224,0.05000000000000071,0.029999999999997584,0.0799999999999983,0.09999999999999787
601088sh,0.21999999999999886,-0.1999999999999993,0.005891413981890934,0.004999999999999005,0.059448415443455256,0.051594646241313914,0.05000000000000071,0.029999999999997584,0.0799999999999983,0.09999999999999787
601100sh,1.8800000000000097,-1.7199999999999989,0.03608672776109974,0.0049999999999954525,0.1887709575611947,0.14290309685574346,0.10999999999999943,0.04999999999999716,0.19999999999998863,0.3999999999999915
601360sh,0.2799999999999976,-0.23000000000000043,0.006183224408026529,0.004999999999999005,0.059899857256156694,0.05196588831598188,0.05000000000000071,0.029999999999997584,0.0799999999999983,0.10000000000000142
603986sh,2.1899999999999977,-2.0,0.04014606741573028,0.0049999999999954525,0.2196171904233954,0.1677865590151147,0.12999999999999545,0.060000000000002274,0.22999999999998977,0.45000000000001705
